dataset,candidate,bootstrap,seed,n_patients,state,qualified,movement,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,runtime_s
GSE236581,RobustBlend,500,20261103,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0261034630407132,-0.0008892695336869,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.158698558807373
GSE236581,RobustBlend,500,20261203,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0270876908007994,-0.0002548067144483,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.181480646133423
GSE236581,RobustBlend,1000,20260903,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0261853611338722,-0.0016478605913686,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.2425882816314697
GSE236581,RobustBlend,1000,20261003,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0255914305545321,-0.001116453222561,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.208870649337769
GSE236581,RobustBlend,1000,20261103,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0265466830129266,-0.00114861429605,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.1901235580444336
GSE236581,RobustBlend,1000,20261203,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.026762973128605,-0.0002642205420691,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.051091432571411
GSE236581,RobustBlend,2000,20260903,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0262082714784016,-0.0012983127850816,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.225018262863159
GSE236581,RobustBlend,2000,20261003,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0265914828026536,-0.0011167909534289,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.2884907722473145
GSE236581,RobustBlend,2000,20261103,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0267571783825414,-0.0013478583343885,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.42898941040039
GSE236581,RobustBlend,2000,20261203,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0271423291739544,-0.0002789567683998,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.251660823822021
GSE272993_9state,RobustBlend,250,20260903,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0005079169491788,0.0023291323767816,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.488027572631836
GSE272993_9state,RobustBlend,250,20261003,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0006364315638502,0.0025682539117755,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.522781610488892
GSE272993_9state,RobustBlend,250,20261103,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004813458292134,0.0025767254448946,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.846251249313354
GSE272993_9state,RobustBlend,250,20261203,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.000376363203409,0.0024290887932385,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.56192111968994
GSE272993_9state,RobustBlend,500,20260903,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004966198387502,0.0025420608633644,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.769903898239136
GSE272993_9state,RobustBlend,500,20261003,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.000517732774019,0.0024822336122688,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.592252492904665
GSE272993_9state,RobustBlend,500,20261103,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004334092827289,0.0024958526468402,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.89496922492981
GSE272993_9state,RobustBlend,500,20261203,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0003785330497298,0.0024493194124677,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.840535402297974
GSE272993_9state,RobustBlend,1000,20260903,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004918733265513,0.0025155193284144,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.518840789794922
GSE272993_9state,RobustBlend,1000,20261003,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004934824071907,0.0024067026774781,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.627551794052124
GSE272993_9state,RobustBlend,1000,20261103,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0003756577776602,0.0024492109327745,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.884361743927002
GSE272993_9state,RobustBlend,1000,20261203,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004099779116122,0.0024485543008832,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.668508529663086
GSE272993_9state,RobustBlend,2000,20260903,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004272740172065,0.0024702564835402,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.55219864845276
GSE272993_9state,RobustBlend,2000,20261003,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0004733843924143,0.0024053925284181,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,12.000956535339355
GSE272993_9state,RobustBlend,2000,20261103,35,Promising,False,0.0688854174008777,0.0640920998921176,0.0014106706782444,0.0003757961059461,0.0023991720254816,0.0,0.0,0.0,0.0,0.0406732651189778,0.0406732651189778,11.474938869476318
GSE272993_9state,RobustBlend,2000,20261203,35,Promising,False,0.06888541740087774,0.06409209989211762,0.0014106706782444633,0.00043390938334123084,0.002466426854989805,0.0,0.0,0.0,0.0,0.040673265118977876,0.040673265118977876,11.902978658676147
